DBpedia_URI	cluster	DBpedia_URI_Base32
http://dbpedia.org/resource/Alaska_Pacific_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLMMFZWWYK7KBQWG2LGNFRV6VLONF3GK4TTNF2HS===
http://dbpedia.org/resource/University_of_Alaska_Fairbanks	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBONVWCX2GMFUXEYTBNZVXG===
http://dbpedia.org/resource/University_of_Alaska_Southeast	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBONVWCX2TN52XI2DFMFZXI===
http://dbpedia.org/resource/University_of_Alaska_Anchorage	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBONVWCX2BNZRWQ33SMFTWK===
http://dbpedia.org/resource/University_of_Montevallo	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPU233OORSXMYLMNRXQ====
http://dbpedia.org/resource/Athens_State_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLUNBSW4427KN2GC5DFL5KW42LWMVZHG2LUPE======
http://dbpedia.org/resource/Auburn_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVMJ2XE3S7KVXGS5TFOJZWS5DZ
http://dbpedia.org/resource/Birmingham-Southern_College	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTJOJWWS3THNBQW2LKTN52XI2DFOJXF6Q3PNRWGKZ3F
http://dbpedia.org/resource/University_of_North_Alabama	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPU433SORUF6QLMMFRGC3LB
http://dbpedia.org/resource/Huntingdon_College	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDVNZ2GS3THMRXW4X2DN5WGYZLHMU======
http://dbpedia.org/resource/University_of_West_Alabama	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPVOZLTORPUC3DBMJQW2YI=
http://dbpedia.org/resource/University_of_Mobile	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPU233CNFWGK===
http://dbpedia.org/resource/Oakwood_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6T3BNN3W633EL5KW42LWMVZHG2LUPE======
http://dbpedia.org/resource/Samford_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNVTG64TEL5KW42LWMVZHG2LUPE======
http://dbpedia.org/resource/Spring_Hill_College	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3QOJUW4Z27JBUWY3C7INXWY3DFM5SQ====
http://dbpedia.org/resource/Stillman_College	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3UNFWGY3LBNZPUG33MNRSWOZI=
http://dbpedia.org/resource/Troy_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDSN54V6VLONF3GK4TTNF2HS===
http://dbpedia.org/resource/Tuskegee_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDVONVWKZ3FMVPVK3TJOZSXE43JOR4Q====
http://dbpedia.org/resource/University_of_Alabama	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBMJQW2YI=
http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBMJQW2YK7MF2F6QTJOJWWS3THNBQW2===
http://dbpedia.org/resource/University_of_Alabama_in_Huntsville	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBMJQW2YK7NFXF6SDVNZ2HG5TJNRWGK===
http://dbpedia.org/resource/University_of_South_Alabama	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPVG33VORUF6QLMMFRGC3LB
http://dbpedia.org/resource/Auburn_University_at_Montgomery	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVMJ2XE3S7KVXGS5TFOJZWS5DZL5QXIX2NN5XHIZ3PNVSXE6I=
http://dbpedia.org/resource/University_of_Arkansas_at_Monticello	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TLMFXHGYLTL5QXIX2NN5XHI2LDMVWGY3Y=
http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC4TLMFXHGYLTL5QXIX2QNFXGKX2CNR2WMZQ=
http://dbpedia.org/resource/Lyon_College	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TDZN5XF6Q3PNRWGKZ3F
http://dbpedia.org/resource/Arkansas_Tech_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLSNNQW443BONPVIZLDNBPVK3TJOZSXE43JOR4Q====
http://dbpedia.org/resource/Arkansas_State_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLSNNQW443BONPVG5DBORSV6VLONF3GK4TTNF2HS===
http://dbpedia.org/resource/University_of_Central_Arkansas	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUGZLOORZGC3C7IFZGWYLOONQXG===
http://dbpedia.org/resource/University_of_the_Ozarks	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPXI2DFL5HXUYLSNNZQ====
http://dbpedia.org/resource/Henderson_State_University	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDFNZSGK4TTN5XF6U3UMF2GKX2VNZUXMZLSONUXI6I=
