DBpedia_URI	cluster	DBpedia_URI_Base32
http://dbpedia.org/resource/Cuba_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3VMJQV63TBORUW63TBNRPWEYLTNNSXIYTBNRWF65DFMFWQ====
http://dbpedia.org/resource/CCC_Polkowice_(basketball_team)	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q2DINPVA33MNNXXO2LDMVPSQYTBONVWK5DCMFWGYX3UMVQW2KI=
http://dbpedia.org/resource/Spain_men's_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3QMFUW4X3NMVXCO427NZQXI2LPNZQWYX3CMFZWWZLUMJQWY3C7ORSWC3I=
http://dbpedia.org/resource/Albania_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLMMJQW42LBL5XGC5DJN5XGC3C7MJQXG23FORRGC3DML52GKYLN
http://dbpedia.org/resource/Applied_Science_University_(basketball_team)	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLQOBWGSZLEL5JWG2LFNZRWKX2VNZUXMZLSONUXI6K7FBRGC43LMV2GEYLMNRPXIZLBNUUQ====
http://dbpedia.org/resource/Tunisia_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VDVNZUXG2LBL5XGC5DJN5XGC3C7MJQXG23FORRGC3DML52GKYLN
http://dbpedia.org/resource/Australia_women's_national_under-19_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVON2HEYLMNFQV653PNVSW4J3TL5XGC5DJN5XGC3C7OVXGIZLSFUYTSX3CMFZWWZLUMJQWY3C7ORSWC3I=
http://dbpedia.org/resource/Saudi_Arabia_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BOVSGSX2BOJQWE2LBL5XGC5DJN5XGC3C7MJQXG23FORRGC3DML52GKYLN
http://dbpedia.org/resource/Hungary_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDVNZTWC4TZL5XGC5DJN5XGC3C7MJQXG23FORRGC3DML52GKYLN
http://dbpedia.org/resource/Australia_women's_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVON2HEYLMNFQV653PNVSW4J3TL5XGC5DJN5XGC3C7MJQXG23FORRGC3DML52GKYLN
http://dbpedia.org/resource/Kenya_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6S3FNZ4WCX3OMF2GS33OMFWF6YTBONVWK5DCMFWGYX3UMVQW2===
http://dbpedia.org/resource/Morocco_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLPOJXWGY3PL5XGC5DJN5XGC3C7MJQXG23FORRGC3DML52GKYLN
http://dbpedia.org/resource/Hungary_women's_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDVNZTWC4TZL53W63LFNYTXGX3OMF2GS33OMFWF6YTBONVWK5DCMFWGYX3UMVQW2===
http://dbpedia.org/resource/Mozambique_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLPPJQW2YTJOF2WKX3OMF2GS33OMFWF6YTBONVWK5DCMFWGYX3UMVQW2===
http://dbpedia.org/resource/Colombia_national_basketball_team	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3PNRXW2YTJMFPW4YLUNFXW4YLML5RGC43LMV2GEYLMNRPXIZLBNU======
