doc1,doc2,average
1,2,1.5
1,3,1.2
1,4,1.0
1,5,1.5
1,6,2.5
1,7,1.3
1,8,1.2
1,9,1.0
1,10,1.3
1,11,1.3
1,12,1.3
1,13,1.2
1,14,5.0
1,15,1.3
1,16,1.6
1,17,1.2
1,18,1.4
1,19,1.1
1,20,1.3
1,21,1.0
1,22,2.6
1,23,1.1
1,24,1.0
1,25,1.3
1,26,1.1111111111111112
1,27,1.1
1,28,1.4
1,29,1.7
1,30,1.5
1,31,1.3
1,32,2.4
1,33,4.8
1,34,1.1
1,35,1.6666666666666667
1,36,1.5
1,37,1.1
1,38,1.2727272727272727
1,39,1.8
1,40,1.1
1,41,1.2
1,42,1.2
1,43,1.3
1,44,1.1
1,45,1.8
1,46,2.2
1,47,1.2
1,48,1.8
1,49,1.6
1,50,2.5
2,3,1.4
2,4,1.0
2,5,1.2
2,6,1.2
2,7,1.2
2,8,1.5
2,9,1.3333333333333333
2,10,1.0
2,11,1.0
2,12,1.0
2,13,1.2
2,14,1.2
2,15,1.1818181818181819
2,16,1.0
2,17,1.1
2,18,1.5
2,19,1.3
2,20,1.5
2,21,1.1
2,22,2.3
2,23,1.2
2,24,1.2
2,25,1.0
2,26,1.0
2,27,1.4
2,28,1.0
2,29,1.2
2,30,1.1
2,31,1.1
2,32,1.5
2,33,2.0
2,34,1.0
2,35,1.0
2,36,1.0
2,37,1.3
2,38,1.1
2,39,1.4
2,40,1.2
2,41,1.1
2,42,1.6
2,43,1.1
2,44,1.2
2,45,1.1
2,46,1.2727272727272727
2,47,1.0
2,48,1.2
2,49,3.5
2,50,1.3
3,4,1.8
3,5,2.3
3,6,1.3
3,7,2.3
3,8,1.7
3,9,1.1
3,10,2.3
3,11,1.8
3,12,2.3
3,13,1.8
3,14,1.7
3,15,1.2
3,16,3.4
3,17,1.8
3,18,2.5
3,19,2.0
3,20,2.3
3,21,2.4
3,22,1.2
3,23,1.3
3,24,1.6
3,25,1.8
3,26,1.6
3,27,1.8
3,28,1.8
3,29,2.2
3,30,1.1
3,31,1.0
3,32,1.5
3,33,2.7
3,34,1.0
3,35,1.1
3,36,2.0
3,37,2.2222222222222223
3,38,5.0
3,39,1.4545454545454546
3,40,1.7
3,41,1.3
3,42,2.6
3,43,2.1
3,44,1.6
3,45,1.5
3,46,2.3
3,47,1.3
3,48,2.2
3,49,1.4
3,50,1.8
4,5,2.3333333333333335
4,6,1.1
4,7,4.0
4,8,3.9
4,9,1.0
4,10,3.1
4,11,3.3
4,12,3.6
4,13,1.6
4,14,1.3
4,15,1.0
4,16,3.7
4,17,1.6666666666666667
4,18,2.1
4,19,1.3
4,20,1.3
4,21,3.0
4,22,1.1
4,23,2.6
4,24,2.9
4,25,1.5
4,26,2.3
4,27,2.7
4,28,3.1
4,29,3.1
4,30,1.0
4,31,1.6
4,32,1.2
4,33,1.2
4,34,1.2
4,35,1.2
4,36,4.0
4,37,1.4
4,38,1.7
4,39,1.9
4,40,1.4
4,41,1.0
4,42,2.9
4,43,1.8888888888888888
4,44,1.9
4,45,1.6
4,46,2.8
4,47,1.3
4,48,2.3
4,49,1.0
4,50,1.8
5,6,1.1
5,7,1.8
5,8,2.1
5,9,1.2
5,10,3.9
5,11,3.4
5,12,2.8
5,13,1.2
5,14,1.3
5,15,1.1
5,16,3.5
5,17,1.7
5,18,1.4
5,19,1.2
5,20,2.0
5,21,2.2
5,22,1.1
5,23,2.4
5,24,2.4
5,25,1.6
5,26,1.6
5,27,2.5
5,28,1.9
5,29,1.7
5,30,1.1
5,31,1.2222222222222223
5,32,1.9
5,33,1.6
