task_name,gold_standard_file,model_name,model_configuration,root_mean_squared_error
Regression,Cities,KNN,K=3,14.339950478530563
Regression,Cities,KNN,K=3,14.301103365582879
Regression,Cities,KNN,K=3,14.996545105619537
Regression,Cities,KNN,K=3,14.498322808369755
Regression,Cities,KNN,K=3,14.142227398057432
Regression,Cities,KNN,K=3,14.770041782998243
Regression,Cities,KNN,K=3,14.879002227399365
Regression,Cities,KNN,K=3,14.819202141073458
Regression,Cities,KNN,K=3,14.340642624865694
Regression,Cities,KNN,K=3,14.696752424599552
Regression,Cities,M5,,23.565204120103267
Regression,Cities,M5,,26.196099376031906
Regression,Cities,M5,,21.869611235187534
Regression,Cities,M5,,23.14487629340488
Regression,Cities,M5,,23.621495995948028
Regression,Cities,M5,,25.58553574489538
Regression,Cities,M5,,22.859191525923503
Regression,Cities,M5,,23.730632884385166
Regression,Cities,M5,,22.933345256649094
Regression,Cities,M5,,25.080234680516863
Regression,Cities,LR,,30.801491435878006
Regression,Cities,LR,,31.05495628249534
Regression,Cities,LR,,30.637523638125334
Regression,Cities,LR,,29.88417691055343
Regression,Cities,LR,,31.727450396539716
Regression,Cities,LR,,32.86394287167751
Regression,Cities,LR,,31.813710109324585
Regression,Cities,LR,,31.929557159821968
Regression,Cities,LR,,28.267729935225322
Regression,Cities,LR,,29.919011230238105
