task_name,gold_standard_file,model_name,model_configuration,root_mean_squared_error
Regression,Forbes,KNN,K=3,33.9251811100237
Regression,Forbes,KNN,K=3,34.650588855885516
Regression,Forbes,KNN,K=3,33.856582353916465
Regression,Forbes,KNN,K=3,34.30453885575366
Regression,Forbes,KNN,K=3,34.384468970462436
Regression,Forbes,KNN,K=3,33.893015733392154
Regression,Forbes,KNN,K=3,34.80111140482359
Regression,Forbes,KNN,K=3,34.922806399251094
Regression,Forbes,KNN,K=3,34.003434448179064
Regression,Forbes,KNN,K=3,34.20773601869449
Regression,Forbes,M5,,50.926128658534495
Regression,Forbes,M5,,49.06064367578973
Regression,Forbes,M5,,52.22410114562314
Regression,Forbes,M5,,47.13261299815245
Regression,Forbes,M5,,48.75954489110019
Regression,Forbes,M5,,48.965737943978155
Regression,Forbes,M5,,51.293397563624545
Regression,Forbes,M5,,48.5313990117932
Regression,Forbes,M5,,46.52983559897439
Regression,Forbes,M5,,48.150118589332784
Regression,Forbes,LR,,34.803658846908675
Regression,Forbes,LR,,35.372193099374755
Regression,Forbes,LR,,34.84648804258825
Regression,Forbes,LR,,34.81359515313875
Regression,Forbes,LR,,35.00916435526242
Regression,Forbes,LR,,35.047478033522694
Regression,Forbes,LR,,35.217896695728854
Regression,Forbes,LR,,35.579305793880174
Regression,Forbes,LR,,34.769065565485455
Regression,Forbes,LR,,35.02424281100064
