task_name,gold_standard_file,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticAlbums,KNN,K=3,12.078666981244416
Regression,MetacriticAlbums,KNN,K=3,12.103673101733566
Regression,MetacriticAlbums,KNN,K=3,12.146482163594817
Regression,MetacriticAlbums,KNN,K=3,12.04923996587986
Regression,MetacriticAlbums,KNN,K=3,12.057658522552575
Regression,MetacriticAlbums,KNN,K=3,12.068056666493955
Regression,MetacriticAlbums,KNN,K=3,12.120242115623116
Regression,MetacriticAlbums,KNN,K=3,12.025970747499851
Regression,MetacriticAlbums,KNN,K=3,12.094352792832591
Regression,MetacriticAlbums,KNN,K=3,12.172480293304035
Regression,MetacriticAlbums,M5,,16.70643344063251
Regression,MetacriticAlbums,M5,,16.82393625701406
Regression,MetacriticAlbums,M5,,16.471955445030126
Regression,MetacriticAlbums,M5,,16.788299483048327
Regression,MetacriticAlbums,M5,,16.74957024535079
Regression,MetacriticAlbums,M5,,17.058015338419434
Regression,MetacriticAlbums,M5,,16.941802017038462
Regression,MetacriticAlbums,M5,,16.78468672019618
Regression,MetacriticAlbums,M5,,17.12740201111071
Regression,MetacriticAlbums,M5,,16.869228859482654
Regression,MetacriticAlbums,LR,,11.659653479129181
Regression,MetacriticAlbums,LR,,11.560855443249068
Regression,MetacriticAlbums,LR,,11.524900636846288
Regression,MetacriticAlbums,LR,,11.711089582277667
Regression,MetacriticAlbums,LR,,11.565503707078156
Regression,MetacriticAlbums,LR,,11.675216139342973
Regression,MetacriticAlbums,LR,,11.614019083062667
Regression,MetacriticAlbums,LR,,11.616259739580496
Regression,MetacriticAlbums,LR,,11.552550640896992
Regression,MetacriticAlbums,LR,,11.631307903764833
