task_name,gold_standard_file,model_name,model_configuration,root_mean_squared_error
Regression,MetacriticMovies,KNN,K=3,18.75369685594504
Regression,MetacriticMovies,KNN,K=3,18.9317954394336
Regression,MetacriticMovies,KNN,K=3,18.71578676323416
Regression,MetacriticMovies,KNN,K=3,18.813980477041056
Regression,MetacriticMovies,KNN,K=3,18.48568872643632
Regression,MetacriticMovies,KNN,K=3,18.871574919509946
Regression,MetacriticMovies,KNN,K=3,18.684732559116117
Regression,MetacriticMovies,KNN,K=3,18.600744585230455
Regression,MetacriticMovies,KNN,K=3,18.942509762968022
Regression,MetacriticMovies,KNN,K=3,18.643813274109156
Regression,MetacriticMovies,M5,,25.663154318593598
Regression,MetacriticMovies,M5,,26.025828925751775
Regression,MetacriticMovies,M5,,25.45740967398286
Regression,MetacriticMovies,M5,,25.221998993064084
Regression,MetacriticMovies,M5,,26.680008627773493
Regression,MetacriticMovies,M5,,25.662351139017964
Regression,MetacriticMovies,M5,,25.780035559382043
Regression,MetacriticMovies,M5,,26.750459010248353
Regression,MetacriticMovies,M5,,26.041245545595018
Regression,MetacriticMovies,M5,,26.466424202906474
Regression,MetacriticMovies,LR,,16.696062344830025
Regression,MetacriticMovies,LR,,16.726522822055596
Regression,MetacriticMovies,LR,,16.593603440507827
Regression,MetacriticMovies,LR,,16.693522074288595
Regression,MetacriticMovies,LR,,16.69152916005434
Regression,MetacriticMovies,LR,,16.712702819040768
Regression,MetacriticMovies,LR,,16.821244092677677
Regression,MetacriticMovies,LR,,16.69885465091318
Regression,MetacriticMovies,LR,,16.663693580525557
Regression,MetacriticMovies,LR,,16.693754277628823
