test_name task_name gold_standard_file model model_configuration metric score_value
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes KNN K=3 accuracy 0.5100543024227234
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes C45 - accuracy 0.4972134502923977
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=100 accuracy 0.5759097744360904
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=1.0 accuracy 0.5229323308270678
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes NB - accuracy 0.5665071010860484
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=0.001 accuracy 0.495488721804511
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=0.1 accuracy 0.495488721804511
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=10.0 accuracy 0.6078588137009191
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=0.01 accuracy 0.495488721804511
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Forbes SVM C=1000 accuracy 0.5726528822055138
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities KNN K=3 accuracy 0.58
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities C45 - accuracy 0.5466666666666666
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=100 accuracy 0.6875
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=1.0 accuracy 0.5166666666666672
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities NB - accuracy 0.6658333333333335
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=0.001 accuracy 0.5166666666666672
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=0.1 accuracy 0.5166666666666672
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=10.0 accuracy 0.6875
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=0.01 accuracy 0.5166666666666672
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification Cities SVM C=1000 accuracy 0.6875
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies KNN K=3 accuracy 0.7167870826491517
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies C45 - accuracy 0.6183141762452108
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=100 accuracy 0.7290435139573072
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=1.0 accuracy 0.7405774493705526
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies NB - accuracy 0.746631545338442
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=0.001 accuracy 0.5123243933588759
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=0.1 accuracy 0.5123243933588759
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=10.0 accuracy 0.759361430395913
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=0.01 accuracy 0.5123243933588759
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification MetacriticMovies SVM C=1000 accuracy 0.7189983579638751
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification AAUP KNN K=3 accuracy 0.6404139194139195
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification AAUP C45 - accuracy 0.5532271062271061
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification AAUP SVM C=100 accuracy 0.62532967032967
/media/marpel/DATA/uniform_1M_200_cosine_2_1 Classification AAUP SVM C=1.0 accuracy 0.6504395604395601
