DBpedia_URI	cluster	DBpedia_URI_Base32
http://dbpedia.org/resource/Crespano_del_Grappa	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3SMVZXAYLON5PWIZLML5DXEYLQOBQQ====
http://dbpedia.org/resource/Humansville,_Missouri	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDVNVQW443WNFWGYZJML5GWS43TN52XE2I=
http://dbpedia.org/resource/Ida_Grove,_Iowa	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SLEMFPUO4TPOZSSYX2JN53WC===
http://dbpedia.org/resource/Buchanan,_Michigan	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTVMNUGC3TBNYWF6TLJMNUGSZ3BNY======
http://dbpedia.org/resource/Villa_Corona	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VTJNRWGCX2DN5ZG63TB
http://dbpedia.org/resource/Pawayan	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDBO5QXSYLO
http://dbpedia.org/resource/Buckner,_Missouri	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTVMNVW4ZLSFRPU22LTONXXK4TJ
http://dbpedia.org/resource/Songadh	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3PNZTWCZDI
http://dbpedia.org/resource/Atka,_Alaska	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLUNNQSYX2BNRQXG23B
http://dbpedia.org/resource/Jasper,_Arkansas	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6STBONYGK4RML5AXE23BNZZWC4Y=
http://dbpedia.org/resource/Iola,_Texas	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SLPNRQSYX2UMV4GC4Y=
http://dbpedia.org/resource/Malyn	1	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLBNR4W4===
